epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,84.466,1.39366,1.89989,1.40653,0.7765,0.68365,0.75237,0.49625,1.18855,1.1065,1.1835,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884
2,168.26,1.26957,1.12392,1.29443,0.73031,0.63529,0.6914,0.42338,1.3566,1.18586,1.32493,0.0198248,0.00660827,0.0198248,0.00660827,0.0198248,0.00660827,0.0198248,0.00660827
3,251.247,1.33979,1.13325,1.34271,0.43962,0.47909,0.43323,0.23199,1.55394,4.47857,1.56391,0.0295611,0.0098537,0.0295611,0.0098537,0.0295611,0.0098537,0.0295611,0.0098537
4,339.157,1.34701,1.117,1.35509,0.74465,0.52863,0.62122,0.38242,1.3845,1.51847,1.36521,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,419.422,1.29038,1.01629,1.32411,0.77909,0.68831,0.76324,0.43706,1.40495,1.07525,1.36833,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,496.083,1.25029,0.9688,1.30468,0.84252,0.73244,0.82194,0.5555,1.13155,0.76298,1.17818,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,571.823,1.21452,0.91254,1.2805,0.8077,0.7143,0.79336,0.53724,1.12571,1.0547,1.17668,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,648.01,1.19336,0.88442,1.26529,0.81128,0.71179,0.79682,0.54226,1.12443,0.84444,1.18949,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,723.059,1.17546,0.8671,1.25464,0.86916,0.75376,0.85675,0.59236,1.06989,0.71157,1.14608,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,798.71,1.15678,0.84092,1.24189,0.86488,0.77564,0.86785,0.60555,1.04115,0.66325,1.11213,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,873.774,1.14647,0.81594,1.23124,0.85427,0.74404,0.84105,0.58586,1.04722,0.73754,1.1295,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,949.038,1.12941,0.80402,1.22326,0.86644,0.76519,0.85893,0.60563,1.03533,0.65659,1.10356,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,1026.3,1.12011,0.79263,1.21666,0.89814,0.7859,0.88665,0.63526,0.99223,0.62194,1.08382,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
14,1101.78,1.11048,0.78274,1.21513,0.88877,0.79373,0.88582,0.63285,1.0083,0.6206,1.08889,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
15,1176.48,1.09559,0.7673,1.20788,0.90009,0.80104,0.89623,0.65227,0.96934,0.57497,1.06483,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
16,1252.15,1.09296,0.76384,1.20146,0.87701,0.79731,0.88876,0.6475,0.96292,0.60496,1.06779,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
17,1327.2,1.08209,0.75043,1.20018,0.91375,0.7964,0.89958,0.65633,0.94898,0.56392,1.05002,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
18,1401.94,1.08029,0.74862,1.19606,0.89417,0.82567,0.906,0.66405,0.94307,0.53811,1.04548,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
19,1476.94,1.06624,0.7384,1.18714,0.90126,0.821,0.90779,0.66995,0.9316,0.52825,1.0376,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
20,1552.49,1.06234,0.72546,1.18416,0.89291,0.82592,0.91069,0.66681,0.92513,0.53562,1.03408,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
21,1630.22,1.05586,0.72075,1.18001,0.9052,0.82864,0.91179,0.6719,0.91297,0.52792,1.02793,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
22,1707.63,1.04658,0.71473,1.17608,0.90071,0.81643,0.90407,0.66941,0.91945,0.53788,1.03451,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
23,1785.68,1.04842,0.71073,1.17758,0.90732,0.82129,0.91398,0.67637,0.90646,0.51389,1.02062,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
24,1862.62,1.04424,0.71067,1.17092,0.90045,0.8344,0.91587,0.68744,0.88255,0.50488,1.01183,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
