epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,99.5173,1.43272,2.92845,0.0236,0.73692,0.61347,0.69635,0.45681,1.21433,1.9667,0.02511,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884
2,190.828,1.30464,1.57955,0.02065,0.77294,0.67494,0.75536,0.48651,1.21309,1.15961,0.0243,0.0198248,0.00660827,0.0198248,0.00660827,0.0198248,0.00660827,0.0198248,0.00660827
3,283.816,1.38141,1.31604,0.02203,0.79721,0.67681,0.74451,0.46492,1.34239,1.11599,0.0285,0.0295611,0.0098537,0.0295611,0.0098537,0.0295611,0.0098537,0.0295611,0.0098537
4,372.157,1.42837,1.25998,0.02301,0.80353,0.67613,0.76894,0.48195,1.3539,0.98249,0.02836,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,460.639,1.40283,1.17876,0.02237,0.67045,0.63671,0.68893,0.44044,1.3505,1.2184,0.02935,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,548.651,1.37695,1.12715,0.02181,0.82437,0.73233,0.81992,0.54577,1.20226,0.79793,0.02395,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,636.272,1.34658,1.05809,0.02133,0.8272,0.70107,0.79303,0.51097,1.29127,1.01152,0.02707,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,725.043,1.33245,1.0371,0.0209,0.86153,0.75097,0.84614,0.57082,1.18311,0.81507,0.02364,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,812.98,1.31134,1.02441,0.02037,0.8132,0.70755,0.80534,0.54979,1.17707,0.93921,0.02376,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,900.203,1.2975,0.97583,0.02003,0.85934,0.77026,0.86607,0.6061,1.11772,0.67054,0.02221,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,988.254,1.28987,0.94504,0.01998,0.86464,0.76155,0.86014,0.60167,1.09332,0.74089,0.02181,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,1076.04,1.27557,0.94074,0.01985,0.86466,0.76348,0.86259,0.61583,1.05683,0.68455,0.02061,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,1163.46,1.25414,0.93567,0.01961,0.87875,0.79787,0.88616,0.63491,1.05993,0.61261,0.02087,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
14,1251.74,1.25995,0.90756,0.01932,0.87344,0.78032,0.87381,0.61105,1.10159,0.65866,0.02194,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
15,1339.69,1.23343,0.90221,0.01914,0.87451,0.78127,0.87473,0.63091,1.04967,0.63849,0.02024,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
16,1427.9,1.23821,0.89302,0.01898,0.87844,0.80202,0.8917,0.6445,1.02194,0.62158,0.01979,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
17,1515.92,1.22416,0.86871,0.01885,0.88139,0.79064,0.8852,0.64055,1.01169,0.62853,0.01934,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
18,1603.55,1.2256,0.86342,0.01885,0.88447,0.81827,0.89518,0.65632,1.00567,0.57927,0.01925,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
19,1691.36,1.21202,0.86393,0.01851,0.89719,0.81167,0.90256,0.6613,0.9923,0.58352,0.01922,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
20,1779.07,1.20455,0.84679,0.01838,0.90147,0.82593,0.91088,0.67192,0.97267,0.54197,0.01861,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
21,1867.28,1.20225,0.83436,0.01832,0.89555,0.81895,0.9099,0.66926,0.97358,0.55672,0.01872,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
22,1954.22,1.18779,0.82381,0.01817,0.91921,0.80468,0.91064,0.6703,0.97901,0.54577,0.01892,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
23,2042.54,1.18583,0.81771,0.01808,0.8959,0.82709,0.91152,0.67577,0.95883,0.54023,0.01824,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
